True clone	Inf clone	GE	Annotation
#Clone1	#TOR4	0	Initial
#Clone2	#TOR4	8	Initial
#Clone3	#TOR8	12	Initial
#Clone4	#TOR8	13	Initial
#Clone5	#TOR8	11	Initial
#Clone6	#TOR4	4	Initial
#Clone7	#TOR5	1	Initial
#Clone8	#TOR5	9	Initial
#Clone9	#TOR8	7	Initial
#Clone10	#TOR5	14	Initial
#Clone11	#TOR6	0	Initial
#Clone12	#TOR6	2	Initial
#Clone13	#TOR6	3	Initial
#Clone14	#TOR3	6	Initial
#Clone15	#TOR6	5	Initial
#Clone16	#TOR8	2	Initial
#Clone17	#TOR7	0	Initial
#Clone18	#TOR7	1	Initial
#Clone19	#TOR7	6	Initial
#Clone20	#TOR7	11	Initial
#Clone21	#TOR7	5	Initial
#Clone22	#TOR7	12	Initial
#Clone23	#TOR1	5	Initial
#Clone24	#TOR8	13	Initial
#Clone25	#TOR2	1	Initial
#Clone26	#TOR2	3	Initial
#Clone27	#TOR2	11	Initial
#Clone28	#TOR3	0	Initial
#Clone29	#TOR3	5	Initial
#Clone30	#TOR3	3	Initial
#Clone31	#TOR8	1	Initial
#Clone32	#TOR8	4	Initial
