Tumor	Clone13	Clone2Clone7	Clone11	Clone10	Clone12	Clone14	Clone9	Clone8	Clone3	Clone1	Clone6	Clone5	Clone4
T-M1	0.389096678716	0.260661889509	0	0	0	0	0	0	0	0	0	0.397965315893	0
T-M2	0	0	0.817703261099	0	0	0	0	0	0.0184774210838	0	0	0.188711092708	0
T-M3	0	0.358704054078	0	0	0.467448225016	0	0	0	0.0961554132142	0	0	0	0
T-M4	0	0.17864350857	0	0	0	0	0.28702822401	0	0.621284789159	0	0	0	0
T-M5	0	0.410157220465	0	0.566179935116	0	0	0	0	0	0	0	0	0
T-M6	0	0.338232076281	0	0	0	0	0	0	0.0560950859712	0	0.646755937655	0	0
T-M7	0	0.702268687269	0	0	0	0	0	0.327627010109	0	0	0	0	0
T-M8	0	0.441197056455	0	0	0	0	0	0	0.0291793756231	0.516083916084	0	0	0
T-M9	0	0	0	0	0	0	0	0	0	0	0	0.222027900427	0.788632863094
T-PSec1	0	0	0	0	0	0.488888888889	0	0	0.311111111111	0	0	0	0
T-PSec2	0	0	0	0	0	0.509803921569	0	0	0.134434934613	0	0	0	0
