Tumor	Clone13	Clone12	Clone11	Clone10	Clone17	Clone14	Clone9	Clone15Clone16	Clone8Clone3Clone2Clone4	Clone1	Clone7	Clone6	Clone5
T-M1	0	0	0	0	0	0.384885760668	0	0	0.63398216386	0	0	0	0
T-M2	0	0.856732701694	0	0	0	0	0	0	0.158500713539	0	0	0	0
T-M3	0.977859346296	0	0	0	0	0	0	0	0.182140653704	0	0	0	0
T-M4	0	0	0	0	0	0	0.207671957672	0	0.155153473309	0	0	0.0631913553837	0.467600234912
T-M5	0	0	0.169198027903	0.497468638764	0	0	0	0	0.297619047619	0	0	0	0
T-M6	0	0	0	0	0	0	0	0	0.0212404314447	0	0	0.0998757980004	0.816383770555
T-M7	0	0	0	0	0	0	0	0	0.620294380101	0	0.451134191328	0	0
T-M8	0	0	0	0	0	0	0	0	0.156899355546	0.94113986014	0	0	0
T-PSec1	0	0	0.00656536295859	0.509052509124	0	0	0	0.341416490271	0.103596381172	0	0	0	0
T-PSec2	0	0	0	0.136390624576	0.352941176471	0	0	0.512175102599	0.032975854975	0	0	0	0
