Tumor	Clone13	Clone12	Clone11	Clone10	Clone17	Clone16	Clone15	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0	0	0	0	0	0	0.384885760668	0	0	0.63398216386	0	0	0	0	0	0
T-M2	0	0.856732701694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158500713539
T-M3	0.977859346296	0	0	0	0	0	0	0	0	0	0.182140653704	0	0	0	0	0	0
T-M4	0	0	0	0	0	0	0	0	0.207671957672	0	0.155153473309	0	0	0	0.0631913553837	0.467600234912	0
T-M5	0	0	0.169198027903	0.497468638764	0	0	0	0	0	0.150865161878	0.146753885741	0	0	0	0	0	0
T-M6	0	0	0	0	0	0	0	0	0	0	0.0212404314447	0	0	0	0.0998757980004	0.816383770555	0
T-M7	0	0	0	0	0	0	0	0	0	0.145622902604	0.154217242453	0.112968372775	0	0.451134191328	0	0	0.207485862269
T-M8	0	0	0	0	0	0	0	0	0	0	0.0515414511557	0.103679743997	0.94113986014	0	0	0	0.00167816039418
T-PSec1	0	0	0.00656536295859	0.509052509124	0	0	0.341416490271	0	0	0	0	0	0	0	0	0	0.103596381172
T-PSec2	0	0	0	0.136390624576	0.352941176471	0.512175102599	0	0	0	0	0.0315346454131	0	0	0	0	0	0.00144120956182
