Tumor	Clone12	Clone11	Clone10	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0.531918517965	0	0	0	0	0	0	0	0	0	0
T-M2	0	0	0	0.316291880824	0	0	0.520950516135	0	0	0	0	0
T-M3	0	0	0.675593220339	0	0	0	0.351323563205	0	0	0	0	0
T-M4	0	0	0	0	0	0	0.0228123494407	0	0.606841164473	0	0	0.366492168861
T-M5	0	0	0	0	0.472341984257	0	0.107732319743	0	0	0	0	0.522145231029
T-M6	0	0	0	0	0	0.990240612101	0	0	0	0	0	0.0225021076283
T-M7	0	0	0	0	0	0	0.0255741418825	0	0	0.239874337481	0.741257737991	0.024167222931
T-M8	0	0	0	0	0	0	0.191755441836	0.826958176888	0	0	0	0
T-PSec1	0.565001832033	0	0	0	0	0	0.548201631171	0	0	0	0	0
T-PSec2	0.411401970716	0	0	0	0	0	0.507133359577	0	0	0	0	0
