Tumor	Clone13	Clone11	Clone10	Clone16	Clone14	Clone5Clone3	Clone9Clone12	Clone8	Clone2Clone15	Clone1	Clone7	Clone6	Clone4
T-M1	0	0	0	0	0	0.005298692491	0.461279337756	0	0	0	0	0.528945152903	0
T-M2	0.105311355311	0	0	0	0	0.12458863463	0.586768445704	0	0	0	0.259357639177	0	0
T-M3	0	0	0	0	0.660446244484	0.220171449431	0	0	0	0	0.240108801812	0	0
T-M4	0	0	1.00421873573	0	0	0	0	0	0	0	0	0	0
T-M5	0	0.994036227885	0	0	0	0	0	0	0	0	0	0	0
T-M6	0	0	0	0	0	0.0513538913173	0	0	0	0	0.00410220284154	0.0205110142077	0.976274212833
T-M7	0	0	0	0	0	0.00837318998757	0.0186635142503	0.829312865497	0	0	0.136462620636	0.130644599752	0
T-M8	0	0	0	0	0	0.0277652869943	0	0	0.0490787851404	0.956698575694	0	0	0
T-PSec1	0	0	0	0	0	0	0	0	0.951786725385	0	0	0	0
T-PSec2	0	0	0	0.0768097565606	0	0.410904262337	0.335904581299	0	0.266428830864	0	0.000255999843309	0.00127999921654	0
