Tumor	Clone13	Clone12	Clone11	Clone10	Clone16	Clone15	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0	0.0314378548731	0	0	0	0.488870905125	0	0	0	0	0	0	0.0567097749693	0.418504648183	0
T-M2	0	0.0932679546544	0.504009556362	0	0	0	0	0	0	0	0	0	0	0.280596471983	0.198152091822	0
T-M3	0.660446244484	0	0	0	0	0	0	0	0	0	0	0	0	0.240108801812	0.220171449431	0
T-M4	0	0	0	0	0	0	0	1.00421873573	0	0	0	0	0	0	0	0
T-M5	0	0	0	0.994036227885	0	0	0	0	0	0	0	0	0	0	0	0
T-M6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131331717837	0.0620686002317	0.977039549184
T-M7	0	0	0	0	0	0	0	0	0.0501441406966	0	0	0	0.829312865497	0.180535497661	0.0634642862686	0
T-M8	0	0	0	0	0	0	0	0	0	0.0277652869943	0.0490787851404	0.956698575694	0	0	0	0
T-PSec1	0	0	0	0	0	0.951786725385	0	0	0	0	0	0	0	0	0	0
T-PSec2	0	0	0.335994722088	0	0.0768097565606	0.000146437123148	0	0	0	0	0.266282393741	0	0	0.000814872740674	0.411535247866	0
