Tumor	Clone13	Clone12	Clone11	Clone10	Clone15	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0.385245143386	0	0	0	0.59347826087	0	0	0	0	0	0	0	0	0
T-M2	0	0.337766678999	0.844191764288	0	0	0	0	0	0.063324575581	0	0	0	0	0	0
T-M3	0.984495817554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T-M4	0	0	0	0	0	0	0.0271765271765	0.52095858271	0.0615904529698	0.545708083957	0	0	0	0	0
T-M5	0	0	0	0.80735707135	0	0	0.0647945877646	0	0	0.0815318175393	0	0	0	0	0
T-M6	0	0	0	0	0	0	0	0	0	0	0	0	0.122143861101	0.190932138578	0.734998996042
T-M7	0	0	0	0	0	0	0	0	0	0	0	0.900893768828	0.106449831204	0	0
T-M8	0	0	0	0	0	0	0	0	0.0184299618786	0.0257224257224	0.891941391941	0	0	0	0
T-PSec1	0	0.0548916935195	0	0	0.733147934226	0	0	0	0.125953198785	0.188047989796	0	0	0	0	0
T-PSec2	0	0	0	0	0.921356421356	0	0.0074866653814	0	0.0255440907807	0.0260119996962	0	0	0	0	0
