Tumor	Clone13	Clone12	Clone11	Clone10	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0.809613159458	0	0	0	0	0.353177538216	0	0	0	0	0	0
T-M2	0	0	0	0.266666666667	0	0	0	0.181779895571	0	0	0.503826281246	0	0
T-M3	0	0	0.582482993197	0	0	0	0.161119711042	0.432867883996	0	0	0	0	0
T-M4	0	0	0	0	0	0.332836082836	0	0.0997793056617	0	0.576254826255	0	0	0
T-M5	0	0	0	0	1.06259114395	0	0	0	0	0	0	0	0
T-M6	0	0	0	0	0	0	0.245280963773	0	0	0	0	0	0.876670255739
T-M7	0	0	0	0	0	0	0.107120521755	0.0603079636413	0	0	0.207466526521	0.89339767101	0
T-M8	0	0	0	0	0	0	0.0198412698413	0.0900566298856	0.854387814559	0	0	0	0
T-PSec1	0.40044014477	0	0	0	0	0	0.42383107089	0.17572878434	0	0	0	0	0
T-PSec2	0.213653194366	0	0	0	0	0.0196801389672	0.0152730883813	0.591393578285	0	0	0	0	0
