Tumor	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0	0	0.875911829263	0	0	0	0	0
T-M2	0	0.284252770291	0	0.239273485381	0	0.43320754717	0	0	0
T-M3	0.914495777447	0	0	0.0697518112484	0	0	0	0	0
T-M4	0	0	0	0	0	0	0	0.960039955143	0
T-M5	0	0	0	0.0412202297787	0	0	0.969696969697	0	0
T-M6	0	0	0.858484151269	0.147544122032	0	0	0	0	0
T-M7	0	0	0	0.334936247132	0	0	0	0	0.734113712375
T-M8	0	0	0	0.00462793816119	0.95379716186	0	0	0	0
T-PSec1	0	0	0	0.636283161497	0	0	0	0	0
T-PSec2	0	0	0	0.685773888457	0	0	0	0	0
