Tumor	Clone13	Clone12	Clone11	Clone10	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0.975609756098	0	0	0	0	0	0	0	0	0	0	0.137490495718	0
T-M2	0	0	0	0.915011820331	0	0	0	0	0	0	0	0.149504308701	0	0
T-M3	0	0	0.793813305589	0	0	0	0	0	0	0	0	0.187318769883	0	0
T-M4	0	0	0	0	0	0	0.106581507363	0	0	0	0.720072231056	0.271385477268	0	0
T-M5	0	0	0	0	0	0.827377482957	0.0707190753702	0.123442189174	0	0	0	0	0	0
T-M6	0	0	0	0	0	0	0	0	0	0	0	0.206298647658	0.399229029809	0.599951774588
T-M7	0	0	0	0	0	0	0	0	0.983510058483	0	0	0	0	0
T-M8	0	0	0	0	0	0	0	0.0312110863692	0.362152058355	0.533898305085	0	0	0	0
T-PSec1	0.448979591837	0	0	0	0.0798517371796	0	0	0	0.490082423497	0	0	0	0	0
T-PSec2	0	0	0	0	0.184817623154	0	0	0.0632269011839	0.423016574355	0	0	0.217827790196	0	0
