Tumor	Clone12	Clone11	Clone10	Clone2Clone4Clone14	Clone9	Clone8	Clone3	Clone1	Clone6Clone13	Clone7	Clone5
T-M1	0.725915909148	0	0	0.0182701373638	0	0	0	0	0	0	0
T-M2	0	0	0.935064039157	0	0	0	0	0	0	0	0
T-M3	0	0.742325542815	0	0.312219911731	0	0	0	0	0	0	0
T-M4	0	0	0	0.0658899669772	0	0	0	0	0	0.843200942114	0
T-M5	0	0	0	0.181399006942	0.453998926253	0.538515110283	0	0	0	0	0
T-M6	0	0	0	0.147297647512	0	0	0.989065988852	0	0	0	0
T-M7	0	0	0	0.287358101584	0	0	0	0	0.120057331982	0	0.812096761556
T-M8	0	0	0	0.0783972605224	0	0	0	0.867990299325	0	0	0
T-PSec1	0	0	0	0.407037108608	0	0	0	0.399936192389	0.233026699003	0	0
T-PSec2	0	0	0	0.583333333333	0	0	0	0	0	0	0
