Tumor	Clone13	Clone12	Clone11	Clone10	Clone14	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0.725915909148	0	0	0	0	0	0	0	0	0	0	0	0.0182701373638	0
T-M2	0	0	0.935064039157	0	0	0	0	0	0	0	0	0	0	0
T-M3	0	0.742325542815	0	0	0	0	0	0	0	0	0	0	0.312219911731	0
T-M4	0	0	0	0	0	0	0.843200942114	0	0	0	0	0	0.0658899669772	0
T-M5	0	0	0	0.453998926253	0	0.538515110283	0	0	0	0	0	0	0.181399006942	0
T-M6	0	0	0	0	0	0	0	0	0	0	0	0	0.147297647512	0.989065988852
T-M7	0	0	0	0	0	0	0	0	0	0	0.120057331982	0.812096761556	0.287358101584	0
T-M8	0	0	0	0	0	0	0	0.0199867869113	0.0726867499763	0.853714022959	0	0	0	0
T-PSec1	0	0	0	0	0	0	0	0.245725826592	0.381838158855	0.224417744823	0	0	0.18801826973	0
T-PSec2	0	0	0	0	0.270085000944	0	0	0	0.1941086524	0	0	0	0.119139679989	0
