Tumor	Clone11	Clone10	Clone9	Clone8	Clone3	Clone2	Clone1	Clone7	Clone6	Clone5	Clone4
T-M1	0	0.138732959102	0	0	0	0.757818765036	0	0	0	0	0
T-M2	0	0	0	0.365345528455	0	0	0	0.56297614038	0	0	0
T-M3	0	0	0.904528478058	0	0	0	0	0	0	0	0
T-M4	0	0	0	0	0	0.218576689987	0	0	0	1.0154658632	0
T-M5	0	0	0	0	0	0.528189641066	0	0	0.737116481383	0	0
T-M6	0	0	0	0	0.708054511278	0.291945488722	0	0	0	0	0
T-M7	0	0	0	0	0	0.681111111111	0	0	0	0	0.735555555556
T-M8	0	0	0	0	0	0.00917845704431	1.05332154296	0	0	0	0
T-PSec1	0	0	0	0	0	0.96	0	0	0	0	0
T-PSec2	0.304347826087	0	0	0	0	0.793691389599	0	0	0	0	0
