True clone	Inf clone	GE	Annotation
#Clo28	#clo1	3	Initial
#Clo24	#clo13	0	Initial
#Clo23	#clo10	0	Initial
#Clo27	#clo12	3	Initial
#Clo20	#clo8	5	Initial
#Clo21	#clo10	1	Initial
#Clo48	#clo12	0	Initial
#Clo45	#clo8	0	Initial
#Clo43	#clo7	0	Initial
#Clo40	#clo12	3	Initial
#Clo41	#clo12	1	Initial
#Clo9	#clo11	0	Initial
#Clo26	#clo13	2	Initial
#Clo12	#clo14	0	Initial
#Clo11	#clo11	1	Initial
#Clo38	#clo5	1	Initial
#Clo15	#clo6	0	Initial
#Clo14	#clo14	1	Initial
#Clo17	#clo6	1	Initial
#Clo32	#clo2	1	Initial
#Clo30	#clo1	4	Initial
#Clo36	#clo5	0	Initial
#Clo34	#clo2	3	Initial
#Clo19	#clo5	1	Initial
#Clo21	#clo9	4	ExtraInf
#Clo43	#clo4	1	ExtraInf
