True clone	Inf clone	GE	Annotation
#Clo24	#Clo4	0	Initial
#Clo26	#Clo4	2	Initial
#Clo27	#Clo0	0	Initial
#Clo20	#Clo10	1	Initial
#Clo22	#Clo10	1	Initial
#Clo29	#Clo0	1	Initial
#Clo7	#Clo12	1	Initial
#Clo9	#Clo12	1	Initial
#Clo12	#Clo8	2	Initial
#Clo11	#Clo12	2	Initial
#Clo39	#Clo20	0	Initial
#Clo14	#Clo8	0	Initial
#Clo17	#Clo14	0	Initial
#Clo16	#Clo8	1	Initial
#Clo33	#Clo2	0	Initial
#Clo31	#Clo0	3	Initial
#Clo37	#Clo18	0	Initial
#Clo35	#Clo16	0	Initial
#Clo19	#Clo14	1	Initial
#Clo32	#Clo6	0	Initial
