True clone	Inf clone	GE	Annotation
#Clo24	#CloPSec2	0	Initial
#Clo26	#CloPSec1Sub1	1	Initial
#Clo20	#CloPSec1Sub2CloM4Sub3CloM1Sub3CloM3Sub2CloM2Sub2	6	Initial
#Clo21	#CloM1Sub2	2	Initial
#Clo28	#CloPSec1Sub2CloM4Sub3CloM1Sub3CloM3Sub2CloM2Sub2	0	Initial
#Clo7	#CloM4Sub1	10	Initial
#Clo9	#CloM1Sub2	10	Initial
#Clo10	#CloM4Sub2	8	Initial
#Clo13	#CloPSec1Sub2CloM4Sub3CloM1Sub3CloM3Sub2CloM2Sub2	8	Initial
#Clo12	#CloM4Sub2	7	Initial
#Clo15	#CloPSec1Sub2CloM4Sub3CloM1Sub3CloM3Sub2CloM2Sub2	8	Initial
#Clo17	#CloPSec1Sub2CloM4Sub3CloM1Sub3CloM3Sub2CloM2Sub2	7	Initial
#Clo19	#CloM4Sub2	6	Initial
#Clo18	#CloPSec1Sub1	7	Initial
#Clo19	#CloM2Sub1	7	ExtraInf
#Clo28	#CloM1Sub1	2	ExtraInf
#Clo13	#CloM3Sub1	10	ExtraInf
