True clone	Inf clone	GE	Annotation
#Clo24	#CloM4	4	Initial
#Clo26	#CloM4	5	Initial
#Clo27	#CloM3Sub1	1	Initial
#Clo20	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	4	Initial
#Clo22	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	3	Initial
#Clo23	#CloPSec1Sub2CloM5Sub3CloM7Sub3CloM6Sub2CloM1Sub3CloM3Sub2CloM2Sub3	4	Initial
#Clo29	#CloM3Sub1	2	Initial
#Clo40	#CloPSec1Sub2CloM5Sub3CloM7Sub3CloM6Sub2CloM1Sub3CloM3Sub2CloM2Sub3	0	Initial
#Clo8	#CloM7Sub1	3	Initial
#Clo13	#CloM6Sub1	2	Initial
#Clo12	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	2	Initial
#Clo10	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	3	Initial
#Clo38	#CloPSec2Sub2	0	Initial
#Clo15	#CloM6Sub1	3	Initial
#Clo17	#CloPSec1Sub2CloM5Sub3CloM7Sub3CloM6Sub2CloM1Sub3CloM3Sub2CloM2Sub3	4	Initial
#Clo32	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	3	Initial
#Clo31	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	2	Initial
#Clo36	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	1	Initial
#Clo35	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	2	Initial
#Clo34	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	2	Initial
#Clo18	#CloPSec1Sub1CloPSec2Sub1CloM5Sub2CloM7Sub2CloM1Sub2CloM2Sub1	4	Initial
#Clo40	#CloM1Sub1	2	ExtraInf
#Clo40	#CloM2Sub2	3	ExtraInf
#Clo20	#CloM5Sub1	4	ExtraInf
