True clone	Inf clone	GE	Annotation
#Clo25	#CloM4Sub1	2	Initial
#Clo27	#CloM4Sub1	2	Initial
#Clo20	#CloPSec2Sub2CloM5Sub1CloM6Sub2	6	Initial
#Clo49	#CloPSec1Sub4CloPSec2Sub3CloM5Sub3CloM4Sub2CloM7Sub2CloM6Sub4CloM1Sub2CloM2Sub2CloM8Sub2	0	Initial
#Clo47	#CloPSec2Sub2CloM5Sub1CloM6Sub2	1	Initial
#Clo45	#CloPSec1Sub3	1	Initial
#Clo43	#CloPSec2Sub2CloM5Sub1CloM6Sub2	6	Initial
#Clo40	#CloPSec1Sub4CloPSec2Sub3CloM5Sub3CloM4Sub2CloM7Sub2CloM6Sub4CloM1Sub2CloM2Sub2CloM8Sub2	1	Initial
#Clo41	#CloPSec1Sub2	1	Initial
#Clo8	#CloM8Sub1	1	Initial
#Clo29	#CloM4Sub1	3	Initial
#Clo11	#CloM7Sub1	2	Initial
#Clo10	#CloM8Sub1	2	Initial
#Clo13	#CloM7Sub1	3	Initial
#Clo38	#CloM1Sub1	2	Initial
#Clo15	#CloPSec2Sub2CloM5Sub1CloM6Sub2	5	Initial
#Clo22	#CloPSec2Sub2CloM5Sub1CloM6Sub2	5	Initial
#Clo16	#CloPSec2Sub2CloM5Sub1CloM6Sub2	6	Initial
#Clo32	#CloM3	2	Initial
#Clo30	#CloM3	2	Initial
#Clo36	#CloM1Sub1	1	Initial
#Clo35	#CloM2Sub1	1	Initial
#Clo34	#CloM3	4	Initial
#Clo18	#CloPSec2Sub2CloM5Sub1CloM6Sub2	6	Initial
#Clo49	#CloM6Sub1	4	ExtraInf
#Clo49	#CloM6Sub3	2	ExtraInf
#Clo49	#CloPSec1Sub1CloPSec2Sub1	6	ExtraInf
#Clo49	#CloM5Sub2	9	ExtraInf
