True clone	Inf clone	GE	Annotation
#Clo42	#Clo2	3	Initial
#Clo24	#Clo4	1	Initial
#Clo26	#Clo2	1	Initial
#Clo21	#Clo7	3	Initial
#Clo23	#Clo2	2	Initial
#Clo28	#Clo14	1	Initial
#Clo40	#Clo16	4	Initial
#Clo13	#Clo2	3	Initial
#Clo12	#Clo2	4	Initial
#Clo11	#Clo17	0	Initial
#Clo38	#Clo2	7	Initial
#Clo15	#Clo2	2	Initial
#Clo16	#Clo8	0	Initial
#Clo19	#Clo7	1	Initial
#Clo18	#Clo8	1	Initial
#Clo31	#Clo2	6	Initial
#Clo30	#Clo14	2	Initial
#Clo36	#Clo2	1	Initial
#Clo35	#Clo18	4	Initial
#Clo34	#Clo13	9	Initial
#Clo33	#Clo2	5	Initial
