True clone	Inf clone	GE	Annotation
#Clo29	#Clo9	1	Initial
#Clo24	#Clo7	2	Initial
#Clo26	#Clo7	2	Initial
#Clo21	#Clo4	2	Initial
#Clo48	#Clo15	3	Initial
#Clo43	#Clo13	4	Initial
#Clo41	#Clo13	3	Initial
#Clo9	#Clo19	3	Initial
#Clo8	#Clo15	2	Initial
#Clo28	#Clo7	3	Initial
#Clo14	#Clo12	1	Initial
#Clo11	#Clo9	4	Initial
#Clo39	#Clo17	5	Initial
#Clo12	#Clo12	2	Initial
#Clo22	#Clo7	2	Initial
#Clo17	#Clo4	0	Initial
#Clo16	#Clo12	2	Initial
#Clo19	#Clo4	1	Initial
#Clo32	#Clo8	5	Initial
#Clo30	#Clo8	5	Initial
#Clo37	#Clo17	7	Initial
#Clo35	#Clo17	5	Initial
#Clo34	#Clo8	6	Initial
