True clone	Inf clone	GE	Annotation
#Clo50	#Clone5	1	Initial
#Clo35	#Clone1	1	Initial
#Clo24	#Clone12	0	Initial
#Clo26	#Clone12	1	Initial
#Clo21	#Clone6	1	Initial
#Clo48	#Clone5	3	Initial
#Clo23	#Clone7	1	Initial
#Clo44	#Clone14	0	Initial
#Clo42	#Clone14	1	Initial
#Clo40	#Clone3	0	Initial
#Clo41	#Clone7	0	Initial
#Clo28	#Clone9	1	Initial
#Clo13	#Clone5	17	Initial
#Clo11	#Clone5	18	Initial
#Clo10	#Clone1	2	Initial
#Clo15	#Clone2	4	Initial
#Clo14	#Clone1	0	Initial
#Clo17	#Clone2	3	Initial
#Clo33	#Clone13	1	Initial
#Clo32	#Clone9	2	Initial
#Clo30	#Clone9	1	Initial
#Clo37	#Clone1	1	Initial
#Clo52	#Clone5	0	Initial
#Clo19	#Clone6	1	Initial
#Clo18	#Clone8	3	Initial
#Clo11	#Clone4	18	ExtraInf
#Clo42	#Clone11	4	ExtraInf
#Clo26	#Clone10	5	ExtraInf
