True clone	Inf clone	GE	Annotation
#Clo42	#clo1	0	Initial
#Clo24	#clo6	3	Initial
#Clo26	#clo1	4	Initial
#Clo21	#clo2	5	Initial
#Clo23	#clo1	5	Initial
#Clo28	#clo1	2	Initial
#Clo40	#clo8	4	Initial
#Clo13	#clo1	6	Initial
#Clo12	#clo9	6	Initial
#Clo11	#clo4	0	Initial
#Clo38	#clo1	4	Initial
#Clo15	#clo1	5	Initial
#Clo16	#clo3	3	Initial
#Clo19	#clo2	5	Initial
#Clo18	#clo3	4	Initial
#Clo31	#clo1	3	Initial
#Clo30	#clo1	1	Initial
#Clo36	#clo1	4	Initial
#Clo35	#clo7	3	Initial
#Clo34	#clo5	4	Initial
#Clo33	#clo1	2	Initial
