True clone	Inf clone	GE	Annotation
#Clo30	#clo3	5	Initial
#Clo37	#clo5	5	Initial
#Clo22	#clo13	2	Initial
#Clo34	#clo14	2	Initial
#Clo25	#clo2	3	Initial
#Clo26	#clo3	3	Initial
#Clo20	#clo13	1	Initial
#Clo49	#clo14	0	Initial
#Clo47	#clo9	0	Initial
#Clo28	#clo3	4	Initial
#Clo43	#clo5	2	Initial
#Clo40	#clo10	0	Initial
#Clo41	#clo16	1	Initial
#Clo12	#clo1	2	Initial
#Clo13	#clo8	0	Initial
#Clo38	#clo10	4	Initial
#Clo15	#clo8	1	Initial
#Clo16	#clo11	2	Initial
#Clo19	#clo4	3	Initial
#Clo31	#clo7	4	Initial
#Clo23	#clo2	2	Initial
#Clo51	#clo6	0	Initial
#Clo35	#clo5	6	Initial
#Clo18	#clo11	3	Initial
#Clo38	#clo12	4	ExtraInf
#Clo41	#clo15	2	ExtraInf
