True clone	Inf clone	GE	Annotation
#Clo28	#Clo13	1	Initial
#Clo43	#Clo8	2	Initial
#Clo35	#Clo27	0	Initial
#Clo23	#Clo13	0	Initial
#Clo24	#Clo25	1	Initial
#Clo26	#Clo25	1	Initial
#Clo21	#Clo2	1	Initial
#Clo48	#Clo36	0	Initial
#Clo46	#Clo38	1	Initial
#Clo41	#Clo34	0	Initial
#Clo9	#Clo0	2	Initial
#Clo13	#Clo0	2	Initial
#Clo38	#Clo19	1	Initial
#Clo11	#Clo0	1	Initial
#Clo39	#Clo40	1	Initial
#Clo15	#Clo4	0	Initial
#Clo17	#Clo6	0	Initial
#Clo33	#Clo31	1	Initial
#Clo18	#Clo23	0	Initial
#Clo30	#Clo10	1	Initial
#Clo50	#Clo38	0	Initial
#Clo52	#Clo40	0	Initial
#Clo19	#Clo13	1	Initial
#Clo37	#Clo31	0	Initial
#Clo32	#Clo21	1	Initial
