True clone	Inf clone	GE	Annotation
#Clo24	#Clo22	1	Initial
#Clo26	#Clo22	0	Initial
#Clo27	#Clo14	0	Initial
#Clo20	#Clo10	1	Initial
#Clo22	#Clo12	0	Initial
#Clo23	#Clo0	1	Initial
#Clo29	#Clo16	0	Initial
#Clo40	#Clo26	0	Initial
#Clo8	#Clo8	0	Initial
#Clo13	#Clo2	1	Initial
#Clo12	#Clo20	1	Initial
#Clo10	#Clo8	1	Initial
#Clo38	#Clo24	0	Initial
#Clo15	#Clo4	1	Initial
#Clo17	#Clo4	0	Initial
#Clo32	#Clo6	0	Initial
#Clo31	#Clo20	1	Initial
#Clo36	#Clo20	0	Initial
#Clo35	#Clo18	0	Initial
#Clo34	#Clo20	1	Initial
#Clo18	#Clo10	1	Initial
