True clone	Inf clone	GE	Annotation
#Clo42	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	0	Initial
#Clo24	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	5	Initial
#Clo26	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	1	Initial
#Clo21	#CloM5	2	Initial
#Clo23	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	2	Initial
#Clo28	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	2	Initial
#Clo40	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	7	Initial
#Clo13	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	3	Initial
#Clo12	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	4	Initial
#Clo11	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	4	Initial
#Clo38	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	4	Initial
#Clo15	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	2	Initial
#Clo16	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	5	Initial
#Clo19	#CloM5	2	Initial
#Clo18	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	4	Initial
#Clo31	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	3	Initial
#Clo30	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	1	Initial
#Clo36	#CloM4Sub2CloM7Sub3CloM6Sub2CloM1Sub3	1	Initial
#Clo35	#CloM1Sub2	1	Initial
#Clo34	#CloM2Sub1	4	Initial
#Clo33	#CloPSec1Sub2CloPSec2Sub2CloM3Sub2CloM2Sub2CloM8Sub2	2	Initial
#Clo42	#CloM1Sub1	5	ExtraInf
#Clo42	#CloM7Sub2	5	ExtraInf
#Clo11	#CloM8Sub1	4	ExtraInf
#Clo16	#CloM6Sub1	7	ExtraInf
#Clo12	#CloM7Sub1	9	ExtraInf
#Clo40	#CloPSec1Sub1CloPSec2Sub1	8	ExtraInf
#Clo24	#CloM4Sub1	8	ExtraInf
#Clo28	#CloM3Sub1	4	ExtraInf
