True clone	Inf clone	GE	Annotation
#Clo25	#CloM4Sub1	2	Initial
#Clo27	#CloM4Sub1	2	Initial
#Clo20	#CloM5Sub1	5	Initial
#Clo49	#CloPSec1Sub2CloPSec2Sub3CloM4Sub2CloM7Sub2CloM1Sub2CloM3Sub2CloM2Sub2CloM8Sub3	0	Initial
#Clo47	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	1	Initial
#Clo45	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	6	Initial
#Clo43	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	6	Initial
#Clo40	#CloPSec1Sub2CloPSec2Sub3CloM4Sub2CloM7Sub2CloM1Sub2CloM3Sub2CloM2Sub2CloM8Sub3	1	Initial
#Clo41	#CloPSec1Sub4	1	Initial
#Clo8	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	8	Initial
#Clo29	#CloM4Sub1	3	Initial
#Clo11	#CloM7Sub1	2	Initial
#Clo10	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	7	Initial
#Clo13	#CloM7Sub1	3	Initial
#Clo38	#CloM1Sub1	2	Initial
#Clo15	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	5	Initial
#Clo22	#CloPSec1Sub3CloPSec2Sub2CloM6Sub1CloM8Sub2	5	Initial
#Clo16	#CloM5Sub1	5	Initial
#Clo32	#CloM3Sub1	3	Initial
#Clo30	#CloM3Sub1	3	Initial
#Clo36	#CloM1Sub1	1	Initial
#Clo35	#CloM2Sub1	1	Initial
#Clo34	#CloM3Sub1	5	Initial
#Clo18	#CloM5Sub1	5	Initial
#Clo49	#CloM8Sub1	8	ExtraInf
#Clo49	#CloPSec1Sub5	6	ExtraInf
#Clo49	#CloM6Sub2	4	ExtraInf
#Clo49	#CloPSec1Sub1CloPSec2Sub1	6	ExtraInf
#Clo49	#CloM5Sub2	1	ExtraInf
