True clone	Inf clone	GE	Annotation
#Clo28	#Clo22	0	Initial
#Clo24	#Clo21	1	Initial
#Clo26	#Clo21	0	Initial
#Clo21	#Clo21	5	Initial
#Clo22	#Clo22	1	Initial
#Clo29	#Clo29	0	Initial
#Clo9	#Clo9	0	Initial
#Clo12	#Clo16	1	Initial
#Clo10	#Clo16	1	Initial
#Clo39	#Clo39	0	Initial
#Clo14	#Clo16	1	Initial
#Clo17	#Clo17	1	Initial
#Clo16	#Clo16	0	Initial
#Clo19	#Clo19	0	Initial
#Clo32	#Clo32	0	Initial
#Clo31	#Clo31	0	Initial
#Clo37	#Clo37	0	Initial
#Clo35	#Clo35	0	Initial
#Clo34	#Clo34	4	Initial
#Clo18	#Clo18	0	Initial
