True clone	Inf clone	GE	Annotation
#Clo42	#Clo33	17	Initial
#Clo24	#Clo24	17	Initial
#Clo26	#Clo33	17	Initial
#Clo21	#Clo19	17	Initial
#Clo23	#Clo19	17	Initial
#Clo28	#Clo33	17	Initial
#Clo40	#Clo40	21	Initial
#Clo13	#Clo15	17	Initial
#Clo12	#Clo33	17	Initial
#Clo11	#Clo11	17	Initial
#Clo38	#Clo33	21	Initial
#Clo15	#Clo15	17	Initial
#Clo16	#Clo18	17	Initial
#Clo19	#Clo19	17	Initial
#Clo18	#Clo18	18	Initial
#Clo31	#Clo33	18	Initial
#Clo30	#Clo33	17	Initial
#Clo36	#Clo33	17	Initial
#Clo35	#Clo35	20	Initial
#Clo34	#Clo34	21	Initial
#Clo33	#Clo33	17	Initial
