True clone	Inf clone	GE	Annotation
#Clo29	#Clo31	1	Initial
#Clo24	#Clo22	0	Initial
#Clo26	#Clo26	1	Initial
#Clo27	#Clo27	1	Initial
#Clo20	#Clo20	6	Initial
#Clo21	#Clo21	0	Initial
#Clo22	#Clo22	2	Initial
#Clo44	#Clo16	0	Initial
#Clo42	#Clo40	1	Initial
#Clo40	#Clo40	0	Initial
#Clo39	#Clo39	3	Initial
#Clo10	#Clo14	1	Initial
#Clo12	#Clo14	1	Initial
#Clo15	#Clo15	0	Initial
#Clo14	#Clo14	0	Initial
#Clo17	#Clo19	2	Initial
#Clo16	#Clo16	5	Initial
#Clo32	#Clo34	0	Initial
#Clo31	#Clo31	0	Initial
#Clo36	#Clo19	0	Initial
#Clo34	#Clo34	1	Initial
#Clo19	#Clo19	1	Initial
