True clone	Inf clone	GE	Annotation
#Clo28	#Clo19	17	Initial
#Clo43	#Clo19	17	Initial
#Clo35	#Clo35	17	Initial
#Clo23	#Clo19	17	Initial
#Clo24	#Clo26	18	Initial
#Clo26	#Clo26	18	Initial
#Clo21	#Clo21	18	Initial
#Clo48	#Clo48	17	Initial
#Clo46	#Clo50	17	Initial
#Clo41	#Clo41	17	Initial
#Clo9	#Clo19	19	Initial
#Clo13	#Clo19	19	Initial
#Clo38	#Clo32	17	Initial
#Clo11	#Clo11	18	Initial
#Clo39	#Clo52	17	Initial
#Clo15	#Clo19	17	Initial
#Clo17	#Clo19	17	Initial
#Clo33	#Clo37	17	Initial
#Clo18	#Clo18	17	Initial
#Clo30	#Clo19	17	Initial
#Clo50	#Clo50	17	Initial
#Clo52	#Clo52	17	Initial
#Clo19	#Clo19	18	Initial
#Clo37	#Clo37	17	Initial
#Clo32	#Clo32	18	Initial
