True clone	Inf clone	GE	Annotation
#Clo36	#Clo34	1	Initial
#Clo25	#Clo23	6	Initial
#Clo23	#Clo23	5	Initial
#Clo27	#Clo33	1	Initial
#Clo21	#Clo19	8	Initial
#Clo49	#Clo19	0	Initial
#Clo47	#Clo18	0	Initial
#Clo45	#Clo18	7	Initial
#Clo42	#Clo42	5	Initial
#Clo40	#Clo34	0	Initial
#Clo9	#Clo11	0	Initial
#Clo26	#Clo18	2	Initial
#Clo12	#Clo12	0	Initial
#Clo29	#Clo29	1	Initial
#Clo11	#Clo11	1	Initial
#Clo13	#Clo15	1	Initial
#Clo38	#Clo34	1	Initial
#Clo15	#Clo15	0	Initial
#Clo16	#Clo18	5	Initial
#Clo19	#Clo19	8	Initial
#Clo18	#Clo18	3	Initial
#Clo31	#Clo33	1	Initial
#Clo34	#Clo34	1	Initial
#Clo33	#Clo33	0	Initial
