True clone	Inf clone	GE	Annotation
#Clo24	#Clo26	0	Initial
#Clo26	#Clo26	2	Initial
#Clo27	#Clo29	0	Initial
#Clo20	#Clo20	1	Initial
#Clo22	#Clo22	0	Initial
#Clo29	#Clo29	1	Initial
#Clo7	#Clo11	1	Initial
#Clo9	#Clo11	1	Initial
#Clo12	#Clo14	1	Initial
#Clo11	#Clo11	0	Initial
#Clo39	#Clo39	0	Initial
#Clo14	#Clo14	1	Initial
#Clo17	#Clo17	0	Initial
#Clo16	#Clo16	0	Initial
#Clo33	#Clo33	0	Initial
#Clo31	#Clo31	0	Initial
#Clo37	#Clo37	0	Initial
#Clo35	#Clo35	0	Initial
#Clo19	#Clo19	0	Initial
#Clo32	#Clo32	0	Initial
