True clone	Inf clone	GE	Annotation
#Clo6	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	2	Initial
#Clo8	#CloTu5	4	Initial
#Clo9	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	16	Initial
#Clo10	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	15	Initial
#Clo7	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	0	Initial
#Clo4	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	38	Initial
#Clo5	#CloTu4Sub1	2	Initial
#Clo2	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	11	Initial
#Clo3	#CloTu0Sub1CloTu1Sub1CloTu2Sub1CloTu3Sub2	16	Initial
#Clo1	#CloTu4Sub1	13	Initial
#Clo7	#CloTu0Sub2	35	ExtraInf
#Clo2	#CloTu2Sub3	32	ExtraInf
#Clo4	#CloTu2Sub2	43	ExtraInf
#Clo1	#CloTu4Sub2	35	ExtraInf
#Clo10	#CloTu0Sub3CloTu1Sub2	32	ExtraInf
#Clo2	#CloTu3Sub3	31	ExtraInf
#Clo7	#CloTu3Sub1	36	ExtraInf
