True clone	Inf clone	GE	Annotation
#Clone1	#clo5	1	Initial
#Clone2	#clo7	4	Initial
#Clone3	#clo6	10	Initial
#Clone4	#clo7	6	Initial
#Clone5	#clo7	6	Initial
#Clone6	#clo7	5	Initial
#Clone7	#clo7	6	Initial
#Clone8	#clo5	5	Initial
#Clone9	#clo7	8	Initial
#Clone10	#clo7	5	Initial
#Clone11	#clo6	3	Initial
#Clone12	#clo7	6	Initial
#Clone13	#clo7	5	Initial
#Clone14	#clo5	3	Initial
#Clone15	#clo6	8	Initial
#Clone16	#clo5	4	Initial
#Clone17	#clo2	1	Initial
#Clone18	#clo7	7	Initial
#Clone19	#clo7	6	Initial
#Clone20	#clo7	7	Initial
