True clone	Inf clone	GE	Annotation
#Clone1	#clo6	2	Initial
#Clone2	#clo6	10	Initial
#Clone3	#clo12	7	Initial
#Clone4	#clo12	8	Initial
#Clone5	#clo12	10	Initial
#Clone6	#clo6	6	Initial
#Clone7	#clo8	0	Initial
#Clone8	#clo5	0	Initial
#Clone9	#clo12	8	Initial
#Clone10	#clo5	5	Initial
#Clone11	#clo13	2	Initial
#Clone12	#clo13	4	Initial
#Clone13	#clo13	5	Initial
#Clone14	#clo12	2	Initial
#Clone15	#clo13	7	Initial
#Clone16	#clo4	5	Initial
#Clone17	#clo11	1	Initial
#Clone18	#clo11	2	Initial
#Clone19	#clo11	7	Initial
#Clone20	#clo11	12	Initial
#Clone21	#clo11	6	Initial
#Clone22	#clo12	11	Initial
#Clone23	#clo7	1	Initial
#Clone24	#clo12	10	Initial
#Clone25	#clo3	0	Initial
#Clone26	#clo3	2	Initial
#Clone27	#clo5	6	Initial
#Clone28	#clo10	2	Initial
#Clone29	#clo12	3	Initial
#Clone30	#clo10	5	Initial
#Clone31	#clo4	4	Initial
#Clone32	#clo4	7	Initial
