True clone	Inf clone	GE	Annotation
#Clone1	#Clo10	1	Initial
#Clone2	#Clo21	6	Initial
#Clone3	#Clo21	8	Initial
#Clone4	#Clo21	5	Initial
#Clone5	#Clo6	3	Initial
#Clone6	#Clo14	1	Initial
#Clone7	#Clo14	2	Initial
#Clone8	#Clo19	9	Initial
#Clone9	#Clo14	3	Initial
#Clone10	#Clo14	5	Initial
#Clone11	#Clo14	6	Initial
#Clone12	#Clo21	9	Initial
#Clone13	#Clo14	10	Initial
#Clone14	#Clo21	20	Initial
#Clone15	#Clo21	10	Initial
#Clone16	#Clo21	4	Initial
#Clone17	#Clo21	18	Initial
#Clone18	#Clo21	17	Initial
#Clone19	#Clo21	19	Initial
#Clone20	#Clo21	11	Initial
#Clone21	#Clo21	10	Initial
#Clone22	#Clo21	8	Initial
#Clone23	#Clo21	5	Initial
#Clone24	#Clo21	7	Initial
#Clone25	#Clo19	4	Initial
#Clone26	#Clo16	9	Initial
#Clone27	#Clo12	3	Initial
#Clone28	#Clo21	7	Initial
#Clone29	#Clo21	19	Initial
#Clone30	#Clo4	1	Initial
#Clone31	#Clo21	14	Initial
#Clone32	#Clo21	11	Initial
#Clone33	#Clo21	3	Initial
#Clone34	#Clo2	1	Initial
#Clone35	#Clo0	1	Initial
#Clone36	#Clo19	1	Initial
#Clone37	#Clo21	1	Initial
#Clone38	#Clo21	3	Initial
#Clone39	#Clo2	3	Initial
