True clone	Inf clone	GE	Annotation
#Clone1	#clo11	1	Initial
#Clone2	#clo6	5	Initial
#Clone3	#clo11	4	Initial
#Clone4	#clo6	2	Initial
#Clone5	#clo6	2	Initial
#Clone6	#clo11	3	Initial
#Clone7	#clo6	0	Initial
#Clone8	#clo6	8	Initial
#Clone9	#clo6	5	Initial
#Clone10	#clo6	3	Initial
#Clone11	#clo10	3	Initial
#Clone12	#clo6	3	Initial
#Clone13	#clo2	2	Initial
#Clone14	#clo7	5	Initial
#Clone15	#clo8	3	Initial
#Clone16	#clo10	2	Initial
#Clone17	#clo6	3	Initial
#Clone18	#clo12	1	Initial
#Clone19	#clo5	3	Initial
#Clone20	#clo5	2	Initial
#Clone21	#clo7	7	Initial
#Clone22	#clo9	3	Initial
#Clone23	#clo6	4	Initial
#Clone24	#clo6	5	Initial
#Clone25	#clo6	5	Initial
